case_number,year,country,area,location,activity,sex,age,injured_part,fatal,time,species
1955.09.20,1955,USA,Hawaii,East Moloka'i,Hunting turtle,M,Unknown,arm,N,9,Unknown
1961.00.00.d,1961,NEW CALEDONIA,Unknown,Unknown,Spearfishing,Unknown,Unknown,arm,N,Unknown,Unknown
1960.08.22.R.,1960,PAPUA NEW GUINEA,Milne Bay Province,Unknown,Free-diving,M,Unknown,arm,N,Unknown,Unknown
1960.06.27.a,1960,NORTH SEA,"Unknown, treated at Wick, SCOTLAND","On board  East German fishing trawler, I Mai",Fishing,M,18,arm,N,Unknown,Unknown
1960.06.07,1960,USA,California,"10 miles off Santa Barbara, Santa Barbara County","Testing classified underwater electronic gear for Raytheon Corporation, vessel torn apart by explosion",M,32,arm,N,Unknown,Unknown
1950.06.06,1950,USA,Florida,275 miles northeast of Miami,Survived crash of two-engine  C-46 transport plane carrying 62 migrant workers from Puerto Rico to USA ,M,25,arm,Y,9,Unknown
1948.12.26,1948,AUSTRALIA,Queensland,"Kingï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï","Treading water, waiting for a wave",M,28,arm,Y,11,Unknown
1947.06.27,1947,USA,Hawaii,"Off Waianae, O'ahu",Fishing,M,35,arm,N,10,Unknown
1947.04.00,1947,PACIFIC OCEAN,Unknown,Off Central American coast at 8N.79W,"Moving shark from tuna vessel when boat rolled, placing both man & shark in chest-deep water",M,29,arm,N,11,Unknown
1946.02.16,1946,SOUTH AFRICA,KwaZulu-Natal,"South Beach, Durban",Treading water,M,21,arm,N,16,Unknown
1960.00.00.e,1960,FIJI,Northwest of Viti Levu,"Covull Reef, near Lautoka",Spearfishing,M,Unknown,arm,N,Unknown,Unknown
1940.02.04,1940,AUSTRALIA,New South Wales,"North Brighton, Botany Bay",Wading,M,55,arm,Y,14,Unknown
1959.02.27,1959,VENEZUELA,Nueva Esparta,Margarita Island,Fell into water while attempting to boat a swordfish,M,Unknown,arm,N,Unknown,Unknown
1958.11.07.R,1958,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","M'Buke, south of Manus Island",Spearfishing,M,Unknown,arm,Y,Unknown,Unknown
1958.10.12,1958,USA,California,"Coronado Strand, San Diego County",Swimming near jetty,M,15,arm,N,Unknown,Unknown
1958.07.01,1958,PAPUA NEW GUINEA,"New Ireland Province, Bismarck Archipelago","Maritzoan, east coast of Namatanai",Swimming,M,38,arm,Y,Unknown,Unknown
1930.05.27,1930,USA,Texas,High Island,Swimming / floating,M,Unknown,arm,N,18,Unknown
1929.01.27,1929,AUSTRALIA,Queensland,"Alma Bay, Magnetic Island, Townsville",Swimming,M,Unknown,arm,Y,17,Unknown
1958.04.00,1958,PAPUA NEW GUINEA,Morobe Province,"Nasigilatu (Near Malasanga, Finschhafen, in the Huon Gulf)","Fishing, holding fish in his left hand",M,Unknown,arm,N,Unknown,Unknown
1921.11.27.a,1921,AUSTRALIA,Queensland,"Gayï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s Corner, Bulim","Wading to dinghy, carrying his son",M,40,arm,N,9,Unknown
1925.03.12,1925,AUSTRALIA,New South Wales,Newcastle Beach,Swimming,M,16,arm,Y,15,Unknown
1957.02.24,1957,FIJI,Viti Levu,Suva Harbor,Spearfishing,M,Unknown,arm,N,Unknown,Unknown
1955.11.00,1955,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province","Low Island, Manus",Spearfishing,M,Unknown,arm,N,Unknown,Unknown
1916.12.08.b,1916,AUSTRALIA,New South Wales,"Seven Shillings Beach, Middle Harbor, Sydney (Estuary)",Taking wife to beach & about 1 m from the shore,M,41,arm,Y,9,Unknown
1955.00.00.d,1955,CUBA,Havana Province,Cojimar,Fishing,M,Unknown,arm,N,Unknown,Unknown
1954.06.29,1954,USA,California,"Santa Monica, Los Angeles County",Grabbed shark & threw it on deck,M,35,arm,N,Unknown,Unknown
1954.01.30,1954,AUSTRALIA,New South Wales,Avoca Beach,Swimming,M,Unknown,arm,N,Unknown,Unknown
1954.01.22.b,1954,AUSTRALIA,Torres Strait,Naghir Island,Spearfishing,M,30,arm,N,Unknown,Unknown
1953.12.22,1953,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth,Swimming,M,23,arm,N,Unknown,Unknown
1953.07.16,1953,USA,California,"Santa Catalina Island, Los Angeles County",Fishing from market fishboat Sea Spray,M,Unknown,arm,N,Unknown,Unknown
1953.03.22,1953,AUSTRALIA,New South Wales,"Long Reef, Collaroy",Spearfishing,M,23,arm,N,Unknown,Unknown
1899.08.08.b,1899,EGYPT ,Mediterranean Sea,Port Said,Bathing,M,19,arm,N,9,Unknown
1952.00.00.d,1952,PAPUA NEW GUINEA,"Admiralty Islands, Manus Province",Manus Island,Spearfishing,M,Unknown,arm,N,Unknown,Unknown
1895.04.29,1895,SOUTH AFRICA,Eastern Cape Province,Mzimvubu River,"""Crossing the river""",M,28,arm,Y,12,Unknown
1934.10.08,1934,BERMUDA,Hamilton,Hamilton Parish,Fishing,M,Unknown,arm,N,21,Unknown
1880.05.15,1880,INDIA,West Bengal,Ganges River,Unknown,M,20,arm,N,11,Unknown
1950.00.00.h,1950,USA,Florida,"Jacksonville Beach, Duval County",Standing,M,Unknown,arm,N,Unknown,Unknown
1880.05.02.b,1880,INDIA,West Bengal,(Calcutta?),Bathing in river,M,Unknown,arm,Y,12,Unknown
1950.00.00.c,1950,NEW CALEDONIA,North Province,"Voh, near meatworks","Spearfishing, but walking carrying fish on end of speargun",M,Unknown,arm,N,Unknown,Unknown
1950.00.00.b,1950,NEW CALEDONIA,North Province,Mangalia Reef above Touho ,"Helmet diving, collecting trochus shell",M,Unknown,arm,N,Unknown,Unknown
1948.12.14.a,1948,CUBA,Guantanamo Province,10 miles off Cape Maisi,"2 messboys (Jeppsen) & Tony Latona (13) were playing on the afterdeck of the Danish ship Grete Maersk. Jeppsen fell overboard, Latona threw a lifebelt then jumped in to help him. Ship didnï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½",M,14,arm,N,Unknown,Unknown
1948.09.02,1948,IRAN,Bandar Maï¿½ï¿½ï¿½ï¿½ï¿½,Unknown,Bathing or washing,F,60,arm,Y,Unknown,Unknown
1948.08.19,1948,IRAN,Shatt-al-Arab River,Unknown,Unknown,M,13,arm,Y,Unknown,Unknown
1948.04.10,1948,SOUTH AFRICA,Western Cape Province,Gansbaai,"Bringing hooked, harpooned shark onboard boat",M,Unknown,arm,N,Unknown,Unknown
1917.06.03,1917,USA,South Carolina,Calibogue Sound,Swimming beside launch,M,Unknown,arm,N,21,Unknown
1946.12.28,1946,AUSTRALIA,South Australia,Glenelg,Swimming near jetty with 2' piece of wood,M,23,arm,N,Unknown,Unknown
1946.11.20,1946,AUSTRALIA,Torres Strait,40 miles off Thursday Island,Pearl diving from lugger,M,30,arm,Y,Unknown,Unknown
1945.09.19,1945,OKINAWA,Unknown,Unknown,American minesweeper USS YMS-472 foundered in a typhoon - swimming to shore,M,20,arm,N,Unknown,Unknown
1945.09.06,1945,IRAN,Shatt-al-Arab River,Bashamir,Swimming,M,13,arm,N,Unknown,Unknown
1944.00.00.c,1944,SOUTH PACIFIC OCEAN,Unknown,Unknown,Adrift on raft,M,Unknown,arm,Y,Unknown,Unknown
1943.08.00,1943,ITALY,40 miles south of Naples ,Tyrrhenian Sea,Flying Fortress bomber aircraft went down after daytime raid on Naples. He was swimming on the surface,M,Unknown,arm,N,Unknown,Unknown
1943.00.00.e,1943,SOLOMON ISLANDS,Unknown,Guadalcanal,Swimming,M,Unknown,arm,N,Unknown,Unknown
1943.00.00.d,1943,IRAQ,Unknown,River Tigris,Swimming,M,22,arm,N,Unknown,Unknown
1942.08.08,1942,SOLOMON ISLANDS,Unknown,Unknown,Japanese aircraft shot down. He was one of two survivors rescued by the U.S. destroyer Mugford,M,Unknown,arm,N,Unknown,Unknown
1942.07.12,1942,ATLANTIC OCEAN,Unknown,Unknown,The SS Potlach was torpedoed & sunk by the U-153 on 27-Jun-1942. ,M,32,arm,Y,Unknown,Unknown
1942.06.00,1942,USA,300 miles east of St. Thomas (Virgin Islands),Unknown,On life raft tethered to lifeboat. A seaman put hand over side to rinse a cup,M,Unknown,arm,N,Unknown,Unknown
1942.05.09,1942,AUSTRALIA,Queensland,"Great Barrier Reef, off Cairns",Diving from lugger,M,Unknown,arm,N,Unknown,Unknown
1942.04.05,1942,INDIAN OCEAN,West of Ceylon (Sri  Lanka),300 nm from shore,H.M.S. Cornwall & H.M.S.Dorsetshire sunk by Japanese dive bombers. Officers & men in the water formed a circle with 60 of their dead in the center for 36 hours,Unknown,Unknown,arm,Y,Unknown,Unknown
1941.08.21.R,1941,USA,New York,Montauk,Fishing,Unknown,Unknown,arm,N,Unknown,Unknown
1941.00.00.c,1941,IRAN,Khuzestan Province,"Ahvaz, on the Karun River",Slipped off rocks and fell into the water,M,6,arm,Y,Unknown,Unknown
1939.08.01,1939,USA,California,"Off San Pedro, Los Angeles County",Fishing,M,33,arm,N,Unknown,Unknown
1936.04.08,1936,AUSTRALIA,Queensland,Arlington Reef near Cairns,Diving,Unknown,Unknown,arm,N,Unknown,Unknown
1936.03.19,1936,AUSTRALIA,Queensland,"Near Forbes Island, Barrier Reef",Diving for trochus,M,Unknown,arm,N,Unknown,Unknown
1935.11.13,1935,AUSTRALIA,Torres Strait,Barrier Reef near Innisfail,Diving?,M,20,arm,N,Unknown,Unknown
1934.10.02,1934,AUSTRALIA,Torres Strait,Warrior Reefs,Freediving for trochus shell (submerged),M,Unknown,arm,Y,Unknown,Unknown
1932.09.26.R,1932,FIJI,Viti Levu Island,Navua,Catching a turtle,M,Unknown,arm,N,Unknown,Unknown
1932.05.00,1932,AUSTRALIA,Torres Strait,Thursday Island,Pearl diving,M,Unknown,arm,N,Unknown,Unknown
1930.02.20,1930,AUSTRALIA,Torres Strait,Unknown,Pearl diving,M,19,arm,N,Unknown,Unknown
1929.12.13,1929,AUSTRALIA,Torres Strait,Thursday Island,Pearl diving,M,Unknown,arm,N,Unknown,Unknown
1929.11.21,1929,CUBA,Cienfuegos Province,Cienfuegos,Fishing,M,Unknown,arm,N,Unknown,Unknown
1929.10.02,1929,SPAIN,Valencia,Nasareth Beach,Fishing ,M,Unknown,arm,N,Unknown,Unknown
1929.01.14,1929,NEW ZEALAND,North Island,"Miranda Head, Hauriki Gulf",Bathing,F,Unknown,arm,N,Unknown,Unknown
1929.01.05,1929,FIJI,Viti Levu Island,Suva Harbor,Diving for coins thrown from ship S.S. Moeraki,M,Unknown,arm,Y,Unknown,Unknown
1928.12.21,1928,AUSTRALIA,Unknown,Unknown,Pearl diving,M,Unknown,arm,N,Unknown,Unknown
1926.11.17,1926,AUSTRALIA,Torres Strait,Near Thursday Island,Diving,M,Unknown,arm,N,Unknown,Unknown
1925.06.15,1925,AUSTRALIA,Western Australia,"Princess Royal Harbor, near King Georgeï¿½ï¿½ï¿",Unknown,Unknown,Unknown,arm,Unknown,Unknown,Unknown
1925.01.27.R,1925,USA,Florida,"Miami Beach, Miami-Dade County",Swimming,M,Unknown,arm,N,Unknown,Unknown
1925.00.00,1925,FIJI,Viti Levu Island,"Suva Harbor, Suva",Diving for coins tossed from passenger ship,M,Unknown,arm,N,Unknown,Unknown
1924.03.28.R,1924,SOLOMON ISLANDS,Central Province,Savo Island,Swimming,M,Unknown,arm,N,Unknown,Unknown
1923.10.16,1923,AUSTRALIA,Torres Strait,Near Thursday Island,Pearl diving,M,Unknown,arm,N,Unknown,Unknown
1921.10.12,1921,AUSTRALIA,Queensland,Off Hinchinbrook Island,Diving for beche-de-mer ,M,Unknown,arm,N,Unknown,Unknown
1921.08.29.R,1921,AUSTRALIA,Torres Strait,Unknown,Unknown,M,Unknown,arm,N,Unknown,Unknown
1916.07.26,1916,USA,North Carolina,"Atlantic, near New Bern, Craven County",Fishing,M,Unknown,arm,N,Unknown,Unknown
1915.12.09.R,1915,AUSTRALIA,Torres Strait, Thursday Island,Diving,M,Unknown,arm,N,Unknown,Unknown
1915.11.10,1915,AUSTRALIA,Queensland,"Cabbage Tree Creek, Sandgate",Bathing,M,10,arm,N,Unknown,Unknown
1914.02.03,1914,AUSTRALIA,New South Wales,Paramatta River,Canoeing,M,Unknown,arm,N,Unknown,Unknown
1913.00.00.a,1913,AUSTRALIA,Victoria,Brighton,Unknown,M,Unknown,arm,N,Unknown,Unknown
1911.09.17,1911,USA,Florida,"Pablo Beach, Jacksonville, Duval County",Bathing,M,Unknown,arm,N,Unknown,Unknown
1909.12.26.R,1909,USA,Florida,"16 miles north of Fort Pierce Inlet, Indian River County ",Unknown,M,Unknown,arm,N,Unknown,Unknown
1906.10.10.b.R,1906,USA,Hawaii,Unknown,Diving,M,Unknown,arm,N,Unknown,Unknown
1904.00.00.b,1904,PHILIPPINES,Quezon,Tayabas,Bathing,M,Unknown,arm,N,Unknown,Unknown
1902.08.08,1902,USA,Hawaii,"Kalihi, O'ahu",Catching crabs,M,Unknown,arm,Y,Unknown,Unknown
1902.07.06,1902,USA,New Jersey,"Atlantic City, Atlantic County",Swimming,M,Unknown,arm,N,Unknown,Unknown
1897.00.00.b,1897,NEW ZEALAND,Unknown,Unknown,Unknown,M,Unknown,arm,N,Unknown,Unknown
1896.12.20,1896,NEW ZEALAND,North Island,"Marine Parade, Napier, Hawke Bay",Bathing,M,26,arm,Y,Unknown,Unknown
1895.08.02,1895,USA,New Jersey,Raritan Bay,Fishing,M,Unknown,arm,N,Unknown,Unknown
1892.11.09.R,1892,AUSTRALIA,Norfolk Island,Unknown,Fishing,M,Unknown,arm,N,Unknown,Unknown
1890.12.27.R,1890,BRITISH NEW GUINEA,Woodlark Islands,Off Panamota,Thrown overboard,M,18,arm,N,Unknown,Unknown
1890.08.09,1890,USA,Connecticut,"Bridgeport, Fairfield County",Treading for clams,M,Unknown,arm,N,Unknown,Unknown
1885.07.26.c,1885,USA,Hawaii,Kau District,Wreck of the schooner Pohoiki ,M,Unknown,arm,N,Unknown,Unknown
1883.02.26.R,1883,AUSTRALIA,Northern Territory,the pearling beds,Diving,M,Unknown,arm,N,Unknown,Unknown
1883.00.00.b,1883,USA,South Carolina,"Bullï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿",Unknown,M,Unknown,arm,Y,Unknown,Unknown
1880.05.14,1880,INDIA,West Bengal,Hoogly River,Bathing in river,F,60,arm,N,Unknown,Unknown
1880.00.00.c,1880,SOLOMON ISLANDS,Guadalcanal Province,Guadalcanal,Unknown,M,Unknown,arm,N,Unknown,Unknown
1870.06.19,1870,INDIA,22ï¿½ï¿½ï¿,"Calcutta, Hoogly River at  one of the ghats",Bathing,M,40,arm,N,Unknown,Unknown
1870.05.18,1870,INDIA,22ï¿½ï¿½ï¿,"Hatkolah, Ghat,",Bathing,M,39,arm,N,Unknown,Unknown
1840.09.18.R,1840,FIJI,Viti Levu Island,Rewa ,Unknown,M,Unknown,arm,N,Unknown,Unknown
1828.09.28,1828,SIERRA LEONE,Western Area,"River Sierra Leone, 35 miles  upriver from Freetown","British ship, Britannia,  was loading lumber. He was bathing",M,17,arm,N,Unknown,Unknown
1825.00.00,1825,AUSTRALIA,Western Australia,South Bruny Island,Unknown,M,Unknown,arm,N,Unknown,Unknown
1595.00.00,1595,INDIA,Kerala,River Cochin,Ship lay at anchor & man was working on its rudder,M,Unknown,arm,Unknown,Unknown,Unknown
ND.0039,1943,IRAN,Khuzestan Province,"Ahvaz, on the Karun River","Standing, washing rear wheels of his ambulance in ankle-deep water",M,Unknown,arm,Y,Unknown,Unknown
ND.0093,1995,FRENCH POLYNESIA,Tuamotus,Rangiroa,Fishing,M,Unknown,arm,N,Unknown,Unknown
ND-0132,1900,INDIA,Unknown,Unknown,Unknown,M,Unknown,arm,N,Unknown,Unknown
1888.02.17,1888,NEW ZEALAND,South Island,Oamaru,Floating on his back,M,Unknown,arm,N,6,Unknown
2014.10.02.a,2014,AUSTRALIA,Western Australia,"Kelpids Beach, Wylie Bay, Esperance",Surfing,M,23,arm,N,11,white shark
2003.02.27,2003,NEW ZEALAND,Southland,East side of Bench Island in the Foveaux Strait,Scuba diving,M,44,arm,N,11,white shark
1989.06.03,1989,SOUTH AFRICA,Eastern Cape Province,Gonubie,Free diving,M,28,arm,N,15,white shark
2005.09.04.a,2005,AUSTRALIA,South Australia,"Fishery Bay, Eyre Peninsula",Surfing,M,40,arm,N,15,white shark
1992.04.24,1992,NEW ZEALAND,Antarctic Ocean,"Meteorologic Station on Campbell Island, 370 nautical miles south of New Zealand",Snorkeling,M,Unknown,arm,N,15,white shark
1991.07.01.a,1991,USA,California,"8.5 miles south of Ano Nuevo State Reserve, Davenport County",Surfing,M,32,arm,N,9,white shark
1995.06.30,1995,USA,California,"Bluefish Cove, Pt. Lobos State Park, Monterey County",Scuba diving (ascending using scooter),M,31,arm,N,17,white shark
2010.11.30.b,2010,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",Snorkeling,F,70,arm,N,14,white shark
2010.11.30.a,2010,EGYPT,South Sinai Peninsula,"Coral Bay, Sharm el-Sheikh",Snorkeling,F,48,arm,N,14,white shark
2003.05.00,2003,PHILIPPINES,Baatan,Limay,Unknown,Unknown,Unknown,arm,N,Unknown,white shark
1998.11.02.a,1998,BRAZIL,Pernambuco," Boa Viagem Beach, Recife",Surfing,M,22,arm,Y,15,white shark
1989.08.06.R,1989,AUSTRALIA,Queensland,Moreton Bay,Fishing for sharks,M,41,arm,N,Unknown,white shark
2016.12.01,2016,AUSTRALIA,New South Wales,Booti Booti National Park,Surfing,M,65,arm,N,9,white shark
2015.07.31,2015,AUSTRALIA,New South Wales,Evans Head,Surfing,M,52,arm,N,6,white shark
2015.05.03,2015,AUSTRALIA,New South Wales,Saltwater Beach,Surfing,M,Unknown,arm,N,15,white shark
1996.09.06.b,1996,NEW ZEALAND,Chatham Islands ,Waihere Bay,Diving for abalone,M,23,arm,N,10,white shark
1989.04.12,1989,USA,Washington,"Pacific Beach, Grays Harbor County",Surfing (lying prone on his board),M,Unknown,arm,N,10,white shark
1988.06.19,1988,SOUTH AFRICA,Western Cape Province,Sculphoek,Spearfishing,M,36,arm,N,9,white shark
1961.08.16,1961,USA,South Carolina,"Pawleyï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s",Wading,M,19,arm,N,8,white shark
1957.04.28,1957,USA,California,"Atascadero Beach, Morro Bay, San Luis Obispo County",Swimming,M,25,arm,Y,13,white shark
1997.11.09,1997,AUSTRALIA,Western Australia,Albany,Scuba diving (submerged riding a scooter),M,42,arm,N,9,white shark
1901.07.30,1901,SOUTH AFRICA,Western Cape Province,Windmill Beach,Swimming,M,29,arm,Y,14,white shark
1954.01.22.a,1954,ARGENTINA,Buenos Aires Province,"Miramar Beach, 46 km south of Mar de Plata, Buenos Aires ",Floating,M,18,arm,N,13,white shark
1963.02.08,1963,FIJI,Lomaiviti  Island Group,"Taibaisa Passage, Gau Island",Spearfishing,M,28,arm,N,10,white shark
1966.01.22,1966,USA,California,"Pebble Beach, Cypress Point, Monterey County",Free diving / spearfishing (resting on the surface),M,29,arm,N,11,white shark
1967.03.19,1967,SOUTH AFRICA,KwaZulu-Natal,Paradise Reef,Spearfishing,M,32,arm,N,6,white shark
1971.12.16,1971,SOUTH AFRICA,Western Cape Province,"Fish Hoek, False Bay",Swimming,F,16,arm,N,14,white shark
2015.05.02,2015,SOUTH AFRICA,Eastern Cape Province,Port St. John's,Diving,M,29,arm,N,13,white shark
1960.04.12,1960,AUSTRALIA,New South Wales,"Horseshoe Bay, near Kempsey",Surfing,M,17,arm,N,15,white shark
1961.03.12,1961,AUSTRALIA,South Australia,Aldinga Beach,Spearfishing,M,21,arm,N,14,white shark
2011.07.22,2011,SOUTH AFRICA,Eastern Cape Province,"Cintza Beach, East London",Surfing,M,29,arm,N,10,white shark
1935.03.09,1935,AUSTRALIA,New South Wales,Maroubra Beach,Swimming,M,27,arm,Y,12,white shark
2002.12.24,2002,SOUTH AFRICA,Western Cape Province,Scarborough,Snorkeling,M,25,arm,N,12,white shark
1962.11.11,1962,USA,California,Farallon Islands,Spearfishing / Scuba diving (at surface),M,24,arm,N,13,white shark
2005.12.11,2005,AUSTRALIA,Queensland,St. Crispin Reef,Spearfishing,M,44,arm,N,11,white shark
ND.0062,1960,BAHAMAS,Andros Islands,Unknown,Unknown,M,Unknown,arm,N,Unknown,white shark
1964.01.18,1964,AUSTRALIA,Western Australia,Hamelin Bay,Freediving,M,Unknown,arm,N,Unknown,wobbegong shark
2015.06.25.R,2015,AUSTRALIA,Western Australia,Rottnest Island,Swimming,M,19,arm,N,Unknown,wobbegong shark
1961.04.00,1961,AUSTRALIA,Western Australia,Rottnest Island,Spearfishing,M,Unknown,arm,N,Unknown,wobbegong shark
1960.11.06,1960,AUSTRALIA,Western Australia,Hamelin Bay,"Spearfishing, speared fish retreated to cave where shark grabbed his arm",M,24,arm, N,Unknown,wobbegong shark
1963.12.21,1963,AUSTRALIA,New South Wales,"Woolgoolga, Coffs Harbour",Fishing,M,Unknown,arm,N,Unknown,wobbegong shark
1956.08.15.b,1956,AUSTRALIA,Queensland,Near Southport,Diving,M,Unknown,arm,N,Unknown,wobbegong shark
1949.12.00.a,1949,AUSTRALIA,Victoria,Seaholme,Lying on the bottom of a 16' dinghy,M,35,back,N,Unknown,sandtiger shark
1960.02.07,1960,AUSTRALIA,New South Wales,Wattamolla National Park,Spearfishing,M,20,back,N,Unknown,sandtiger shark
2015.07.08,2015,USA,California,"Huntington Beach, Orange County",Treading water,M,39,back,N,Unknown,Unknown
2001.09.15.b,2001,USA,Florida,A quarter mile north of Fort Pierce Inlet,Boogie boarding,M,60,back,N,15,Unknown
1895.09.00,1895,USA,North Carolina,"Near the mouth of the Cape Fear River, Brunswick County",Fishing,Unknown,Unknown,back,N,Unknown,Unknown
2015.06.25,2015,USA,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",Body surfing?,M,47,back,N,11,Unknown
2004.01.03.b,2004,NEW ZEALAND,North Island,"Whiritoa, Eastern Cormandel",Kayaking (returning from spearfishing),M,Unknown,back,N,15,Unknown
1970.01.00,1970,PAPUA NEW GUINEA,New Ireland Province,Unknown,Freediving,M,15,back,N,Unknown,Unknown
1980.07.27,1980,USA,New Jersey,"Ocean City, Cape May County",Body surfing,M,15,back,N,15,Unknown
1962.09.13,1962,SOUTH ATLANTIC OCEAN,Off coast of West Africa,Off the passenger liner Stirling Castle,"When  a deckhand  jumped overboard, McIver dived after him with a rescue line.",M,29,back,Y,Unknown,Unknown
1940.12.28,1940,AUSTRALIA,New South Wales,"Stockton Beach, Newcastle",Standing on sandbank,M,23,back,Y,9,Unknown
1958.00.00.e,1958,PAPUA NEW GUINEA,West New Britain Province,"Bulu, Talasea",Spearfishing,M,Unknown,back,Y,Unknown,Unknown
1955.00.00.a,1955,PAPUA NEW GUINEA,New Ireland,Lavongai,Unknown,M,Unknown,back,N,Unknown,Unknown
1899.08.08.c,1899,EGYPT ,Mediterranean Sea,Port Said,Floating on his back,M,9,back,N,11,Unknown
1946.08.24,1946,ISRAEL,Gaza,Jura Village,Fishing,M,15,back,N,Unknown,Unknown
1944.10.25.b,1944,PHILIPPINES,Off Samar Island in the Gulf of Leyte,Unknown,USS Johnston DD 557 sunk on 10/24/1944 in the Battle off Samara. Crewmen were swimming beside a raft.,M,Unknown,back,Y,Unknown,Unknown
1876.02.06,1876,AUSTRALIA,Victoria,Albert Park in Port Phillip Bay,Bathing,M,Unknown,back,Y,Unknown,Unknown
ND-0109,2006,USA,Florida,"Tampa Bay, Hillsborough County",Wade-fishing,M,Unknown,back,N,Unknown,Unknown
1976.03.02,1976,SOUTH AFRICA,Western Cape Province,"2 km from Macassar, False Bay",Unknown,Unknown,Unknown,back,N,Unknown,white shark
1913.09.03,1913,CROATIA,Istria County,Pula,Unknown,M,Unknown,no injury,N,Unknown,Unknown
1900.09.05,1900,USA,Hawaii,"Waikiki Beach, Oahu",Floating,M,Unknown,Unknown,N,15,Unknown
1960.12.01,1960,AUSTRALIA,Queensland,"Colledge's Crossing, Brisbane River",Fishing,M,Unknown,Unknown,N,Unknown,bull shark
1998.09.00,1998,SENEGAL,Cap Vert Peninsula,Yoff Island,Spearfishing,M,25,Unknown,N,Unknown,Unknown
1958.09.01,1958,USA,New York,Staten Island,Spearfishing,M,20,Unknown,N,Unknown,Unknown
1952.08.04,1952,ITALY,Genoa  Province,Riva Trigoso,Fishing,M,17,Unknown,N,Unknown,Unknown
1989.09.13,1989,USA,Florida,"Gulf of Mexico, 22 miles from Pensacola","Fishing, stepped on hooked shark's head",M,51,Unknown,N,15,Unknown
1932.08.30.a,1932,AUSTRALIA,New South Wales,Newcastle,Unknown,M,Unknown,Unknown,N,Unknown,Unknown
1937.06.15.b,1937,AUSTRALIA,New South Wales,"Wallamba River, near entrance to Wallis Lake","Fishing from launch, fell into net with shark",M,Unknown,Unknown,N,Unknown,copper shark
